GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-radio-station,com.radio.Utilities,Equals,18,0,4,0,8,0,5,0,3,0
maven-radio-station,com.radio,Main,51,0,0,0,10,0,2,0,2,0
maven-radio-station,com.radio.Daos,TrackDao,7,0,0,0,2,0,2,0,2,0
maven-radio-station,com.radio.Daos,PlaylistShowDao,7,0,0,0,2,0,2,0,2,0
maven-radio-station,com.radio.Daos,AutoShowDao,7,0,0,0,2,0,2,0,2,0
maven-radio-station,com.radio.Daos,MusicTrackDao,10,0,0,0,3,0,2,0,2,0
maven-radio-station,com.radio.Daos,ProducerDao,14,0,0,0,5,0,3,0,3,0
maven-radio-station,com.radio.Daos,ShowDao,7,0,0,0,2,0,2,0,2,0
maven-radio-station,com.radio.Daos,AdTrackDao,10,0,0,0,2,0,2,0,2,0
maven-radio-station,com.radio.Models,Policies,10,0,0,0,3,0,3,0,3,0
maven-radio-station,com.radio.Models,PlayBackZone,81,0,12,0,22,0,14,0,8,0
maven-radio-station,com.radio.Models,TrackPlayEvent,10,0,0,0,4,0,3,0,3,0
maven-radio-station,com.radio.Models,PlaylistShow,21,0,4,0,8,0,5,0,3,0
maven-radio-station,com.radio.Models,AdTrack,62,0,0,0,24,0,13,0,13,0
maven-radio-station,com.radio.Models,Producer,63,39,0,0,19,14,11,6,11,6
maven-radio-station,com.radio.Models,AutoShow,22,0,0,0,8,0,5,0,5,0
maven-radio-station,com.radio.Models,Track,23,0,0,0,9,0,5,0,5,0
maven-radio-station,com.radio.Models,EmailAddress,52,9,12,0,14,4,11,2,5,2
maven-radio-station,com.radio.Models,MusicTrack,52,0,0,0,20,0,10,0,10,0
maven-radio-station,com.radio.Models,Show,59,0,0,0,19,0,10,0,10,0
maven-radio-station,com.radio.Models,Genre,3,13,0,0,1,6,1,3,1,3
